File_name;Id;Activity;Place;Year;Month;Day;Hour;Minute;Date;Time;Night_Date
;PippiM;Chasse;PE1;2019;3;18;21;0;18/03/2019;21:00:00;18/03/2019
;Nycsp;Chasse;PE1;2019;3;18;21;5;18/03/2019;21:05:00;18/03/2019
;PippiM;Transit;PE1;2019;3;18;21;6;18/03/2019;21:06:00;18/03/2019
;Barbar;Transit;PE1;2019;3;18;21;10;18/03/2019;21:10:00;18/03/2019
;Pip35;Transit;PE1;2019;3;18;21;18;18/03/2019;21:18:00;18/03/2019
;Nyclei;Social;PE2;2019;3;18;21;26;18/03/2019;21:26:00;18/03/2019
;PippiM;Chasse;PE2;2019;3;18;21;26;18/03/2019;21:26:00;18/03/2019
;PippiM;Chasse;PE2;2019;3;18;21;30;18/03/2019;21:30:00;18/03/2019
;PippiM;Transit;PE2;2019;3;18;21;31;18/03/2019;21:31:00;18/03/2019
;PippiM;Transit;PE2;2019;3;18;21;31;18/03/2019;21:31:00;18/03/2019
;Rhihip;Transit;PE2;2019;3;18;21;31;18/03/2019;21:31:00;18/03/2019
;PippiM;Social;PE2;2019;3;18;21;34;18/03/2019;21:34:00;18/03/2019
;PippiM;Chasse;PE2;2019;3;18;21;35;18/03/2019;21:35:00;18/03/2019
;PippiM;Chasse;PE2;2019;3;18;21;38;18/03/2019;21:38:00;18/03/2019
;PippiM;Transit;PE2;2019;3;18;21;38;18/03/2019;21:38:00;18/03/2019
;PippiM;Transit;PE2;2019;3;18;21;40;18/03/2019;21:40:00;18/03/2019
;PippiM;Chasse;PE2;2019;3;18;21;40;18/03/2019;21:40:00;18/03/2019
;PippiM;Chasse;PE2;2019;3;18;21;42;18/03/2019;21:42:00;18/03/2019
;Myodau;Transit;PE2;2019;3;18;21;42;18/03/2019;21:42:00;18/03/2019
;Myosp;Transit;PE2;2019;3;18;21;42;18/03/2019;21:42:00;18/03/2019
;PippiM;Transit;PE2;2019;3;18;21;44;18/03/2019;21:44:00;18/03/2019
;PippiM;Social;PE2;2019;3;18;21;46;18/03/2019;21:46:00;18/03/2019
;PippiM;Chasse;PE3;2019;3;18;21;50;18/03/2019;21:50:00;18/03/2019
;PippiM;Chasse;PE3;2019;3;18;21;51;18/03/2019;21:51:00;18/03/2019
;PippiM;Transit;PE3;2019;3;18;21;51;18/03/2019;21:51:00;18/03/2019
;PippiM;Transit;PE3;2019;3;18;21;51;18/03/2019;21:51:00;18/03/2019
;PippiM;Transit;PE3;2019;3;18;21;56;18/03/2019;21:56:00;18/03/2019
;Pipnat;Social;PE3;2019;3;18;21;57;18/03/2019;21:57:00;18/03/2019
;Pipnat;Chasse;PE3;2019;3;18;21;57;18/03/2019;21:57:00;18/03/2019
;PippiM;Chasse;PE3;2019;3;18;22;1;18/03/2019;22:01:00;18/03/2019
;PippiM;Transit;PE3;2019;3;18;22;3;18/03/2019;22:03:00;18/03/2019
;PippiM;Transit;PE3;2019;3;18;22;4;18/03/2019;22:04:00;18/03/2019
;Pipkuh;Chasse;PE3;2019;3;18;22;9;18/03/2019;22:09:00;18/03/2019
;PippiM;Chasse;PE3;2019;3;18;22;10;18/03/2019;22:10:00;18/03/2019
;Pipkuh;Transit;PE4;2019;3;18;22;12;18/03/2019;22:12:00;18/03/2019
;PippiM;Transit;PE4;2019;3;18;22;12;18/03/2019;22:12:00;18/03/2019
;Pipkuh;Transit;PE4;2019;3;18;22;13;18/03/2019;22:13:00;18/03/2019
;PippiM;Transit;PE4;2019;3;18;22;14;18/03/2019;22:14:00;18/03/2019
;Pipkuh;Transit;PE4;2019;3;18;22;17;18/03/2019;22:17:00;18/03/2019
;PippiM;Transit;PE4;2019;3;18;22;18;18/03/2019;22:18:00;18/03/2019
;Pipkuh;Transit;PE4;2019;3;18;22;20;18/03/2019;22:20:00;18/03/2019
;PippiM;Transit;PE4;2019;3;18;22;21;18/03/2019;22:21:00;18/03/2019
;Pipkuh;Transit;PE4;2019;3;18;22;22;18/03/2019;22:22:00;18/03/2019
;PippiM;Transit;PE4;2019;3;18;22;28;18/03/2019;22:28:00;18/03/2019
;PippiM;Chasse;PE5;2019;3;18;23;51;18/03/2019;23:51:00;18/03/2019
;Minsch;Chasse;PE5;2019;3;18;23;55;18/03/2019;23:55:00;18/03/2019
;Minsch;Transit;PE5;2019;3;18;23;56;18/03/2019;23:56:00;18/03/2019
;PippiM;Transit;PE5;2019;3;18;23;59;18/03/2019;23:59:00;18/03/2019
;PippiM;Transit;PE5;2019;3;19;0;4;19/03/2019;00:04:00;18/03/2019
;Pipnat;Transit;PE5;2019;3;19;0;5;19/03/2019;00:05:00;18/03/2019
;Pipnat;Transit;PE5;2019;3;19;0;5;19/03/2019;00:05:00;18/03/2019
;PippiM;Social;PE5;2019;3;19;0;9;19/03/2019;00:09:00;18/03/2019
